TOPIC ,1
said 0.0261100003797
you 0.00579473021157
last 0.00517108629122
bush 0.00429264539563
also 0.00425712902779
new 0.00423728368572
like 0.00415686480709
percent 0.004085078617
could 0.00399175209249
york 0.00386447095429
time 0.00376790399387
enron 0.00373671035026
two 0.00352610392969
would 0.00307386150799
com 0.00267059301418
year 0.00264517540049
much 0.00257913282365
president 0.00256658233773
still 0.00256039821863
million 0.00255209905294
""
TOPIC ,2
said 0.00965823251916
one 0.00737228260519
york 0.00727217042583
company 0.00621649436753
times 0.006076297246
last 0.00595777283992
people 0.00476819996652
even 0.00445523478238
you 0.00437562677548
world 0.00383717618373
news 0.00345715632631
first 0.00324685518105
would 0.00314711781821
time 0.00301351488788
percent 0.00288847303276
city 0.00280631294825
many 0.00279976447406
companies 0.002748959551
officials 0.00245080134438
home 0.00235934218997
""
TOPIC ,3
said 0.0187282552559
year 0.00858165890288
new 0.00542803014488
two 0.00519957619775
last 0.00517844078142
like 0.00439407248373
would 0.004174063852
enron 0.00407921682282
york 0.00374111551068
bush 0.00368934079021
people 0.00300052922723
times 0.00290877411151
years 0.00273650608455
million 0.00272041830756
first 0.00269262627746
moved 0.00265823249656
you 0.00265138872816
still 0.0026241331054
undated 0.00236643628949
city 0.00231960902574
""
TOPIC ,4
one 0.00647400678468
you 0.00554848772303
years 0.00516174829461
enron 0.00514308128017
two 0.005038314021
new 0.00456708019318
time 0.00432360035219
percent 0.00388892951384
also 0.00382882746453
service 0.00338829697921
said 0.00332139586342
american 0.00329095903692
company 0.00309368591953
like 0.00294333337165
government 0.00281817035724
fuel 0.00272089191223
president 0.00263303484528
lay 0.00238486336932
even 0.0023644758852
could 0.0023303031988
""
TOPIC ,5
said 0.0151342088525
new 0.0087136496621
one 0.00642726407257
years 0.00384828586174
company 0.00329922776978
like 0.00320028707036
american 0.00310161029617
business 0.00291601757659
government 0.00290368488126
power 0.00278803843118
last 0.00272454015628
much 0.00265641237794
year 0.00262383927734
news 0.00255555640596
says 0.00246096822026
undated 0.00245850039251
ago 0.00243416366417
also 0.00239853158114
say 0.00229700684394
make 0.00228516003198
""
TOPIC ,6
new 0.010059042184
said 0.00993850803921
year 0.00698192463695
atlanta 0.00597868855508
enron 0.00505655551296
people 0.00434078276132
company 0.00391766834296
like 0.00351625744794
first 0.00339183002657
one 0.00314888954091
state 0.00300996204129
president 0.00285353655528
constitution 0.00278293931968
officials 0.00277463480338
times 0.00259360013437
com 0.00250682134445
fuel 0.00241617361151
also 0.00233860288305
say 0.00230021054631
much 0.0021785264703
""
TOPIC ,7
one 0.00793770330851
new 0.00675545408605
you 0.00564048812976
news 0.00498606342033
year 0.00490829179248
bush 0.00482171149483
said 0.00463164048646
york 0.0045050138703
would 0.00404025605193
atlanta 0.0038383862394
american 0.00372235539649
even 0.00346808612307
time 0.00343164316507
officials 0.00323638349614
years 0.00311294799868
two 0.0029044617761
business 0.00236348563708
country 0.00233384489779
enron 0.00229019043744
people 0.00214816020977
""
TOPIC ,8
said 0.014248466422
new 0.00937485135255
would 0.00905944495199
year 0.00750082127577
you 0.00624842607836
enron 0.00509050687614
could 0.00410022195432
last 0.00339447616198
news 0.00313904247125
years 0.00301929130822
energy 0.00300326178102
percent 0.00296798303865
say 0.00277912738337
government 0.00253171124944
also 0.00250172271639
service 0.00244987077467
former 0.00231503774351
york 0.0022558139529
way 0.00215352485522
may 0.00208207235562
""
TOPIC ,9
said 0.0150627937795
new 0.00724926340557
one 0.00553219551962
service 0.00417378652097
enron 0.00402102857643
bush 0.00397081199832
time 0.00371423455195
undated 0.00364941867991
news 0.00349475633068
people 0.00338936369498
could 0.00330249544944
would 0.00322199844315
state 0.00321397753624
also 0.00304492331757
york 0.00293070481468
even 0.00276226629009
washington 0.0027335062743
atlanta 0.00267849588621
last 0.00252209823546
you 0.00246606205855
""
TOPIC ,10
new 0.00942965376964
two 0.00561013787379
would 0.00560742843747
company 0.0054352747216
news 0.00509996575449
enron 0.00337499344235
said 0.00336841549807
city 0.00314629143707
first 0.00312105421604
service 0.00305111509335
president 0.00278451092265
york 0.00276725986788
could 0.00273356465859
times 0.00272896033901
fuel 0.00267545234799
government 0.00264367227077
year 0.00262669794371
way 0.00246947536312
energy 0.00245893043152
people 0.00244986831606
""
